Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - Else,Chrome 73.0.3683.75,,2019-04-17 14:32:13,2019-04-17 14:32:13,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:32:13,2019-04-17 14:32:13,0.639s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/005_Verify_search_Result",Chrome 73.0.3683.75,"1.验证关键词与姓名一列中的结果是否匹配，是否支持模糊搜索；
2.验证支持姓名模糊搜索，还是整个列表中的所有数据模糊匹配。",2019-04-17 14:32:15,2019-04-17 14:33:08,52.584s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:32:15,2019-04-17 14:32:15,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:32:16,2019-04-17 14:32:28,11.920s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:32:28,2019-04-17 14:32:29,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:32:29,2019-04-17 14:32:29,0.142s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:32:29,2019-04-17 14:32:30,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:32:30,2019-04-17 14:32:30,0.114s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:32:30,2019-04-17 14:32:31,1.004s,PASSED
comment,Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.005s,PASSED
verifyElementPresent,Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.033s,PASSED
Statement - table = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/table),Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.003s,PASSED
Statement - println(table),Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.001s,PASSED
"Statement - TableRows = CustomKeywords.custom_keyword.WebUICustomKeywords.getHtmlTableRows(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/table), ""tbody"")",Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.055s,PASSED
Statement - TableRows_All = TableRows.size(),Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.003s,PASSED
Statement - println(TableRows_All),Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:31,0.002s,PASSED
"Statement - For ([i = 1, i <= TableRows_All, (i++)])",Chrome 73.0.3683.75,,2019-04-17 14:32:31,2019-04-17 14:32:34,3.575s,PASSED
"Statement - For ([i = 1, i <= TableRows_All, (i++)])",Chrome 73.0.3683.75,,2019-04-17 14:32:34,2019-04-17 14:33:06,31.368s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:06,2019-04-17 14:33:06,0.003s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/006_paging_verify",Chrome 73.0.3683.75,1.验证分页功能是否正常,2019-04-17 14:33:08,2019-04-17 14:33:31,23.126s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:08,2019-04-17 14:33:08,0.003s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:08,2019-04-17 14:33:21,12.732s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:33:21,2019-04-17 14:33:22,1.001s,PASSED
"Statement - value = [""10"", ""20"", ""30"", ""40"", ""50"", ""60"", ""70"", ""80"", ""90""]",Chrome 73.0.3683.75,,2019-04-17 14:33:22,2019-04-17 14:33:22,0.001s,PASSED
Statement - For (def b : value),Chrome 73.0.3683.75,,2019-04-17 14:33:22,2019-04-17 14:33:29,7.125s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:29,2019-04-17 14:33:29,0.005s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/007_page_default",Chrome 73.0.3683.75,验证分页的设置是否为恢复默认,2019-04-17 14:33:31,2019-04-17 14:34:32,1m - 0.665s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:31,2019-04-17 14:33:31,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:33:31,2019-04-17 14:33:43,11.582s,PASSED
verifyOptionSelectedByValue,Chrome 73.0.3683.75,,2019-04-17 14:33:43,2019-04-17 14:33:43,0.507s,PASSED
"Statement - value = [""10"", ""20"", ""30"", ""40"", ""50""]",Chrome 73.0.3683.75,,2019-04-17 14:33:43,2019-04-17 14:33:43,0.001s,PASSED
Statement - For (def b : value),Chrome 73.0.3683.75,,2019-04-17 14:33:43,2019-04-17 14:34:30,46.370s,FAILED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:34:30,2019-04-17 14:34:30,0.003s,PASSED
